Date de création	Type	Catégorie	Équipe	Produit	Ligne	Famille	Défaut	Qte défaut	Phase d'origine	Phase de détection
2025-03-21	Scrap	process	Matin	SIM II	sim 2	SIM	boitier cassé	7	insertion rotule	insertion rotule
2025-03-21	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	fourchette self endommagée	1	soudure fourchette	Montage PCB
2025-03-21	Scrap	formation	Matin	V420284 SIM ELEC	Sim Elec	SIM ELEC	boitier cassé	10	insertion automatique de s/e	insertion automatique de s/e
2025-03-21	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	PDM endommagée	1	soudure etain automatique	controle etain +rework
2025-03-21	Scrap	process	A Midi	T7	T7	Engine Cooling	soudure self éclaté	2	soudure self fusible (self N°2)	soudure self fusible (self N°2)
2025-03-21	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	Fourchette (2) endommagé	12	soudure fourchette /ICH/ resistance/ condo	test electrique
2025-03-21	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	Fourchette (1) endommagé	1	soudure fourchette /ICH/ condo	test electrique
2025-03-21	Scrap	process	A Midi	VM4 Tower	VM4 Partie A	VM4	Tour brûlée	4	robot de brasage	robot de brasage
2025-03-21	Scrap	process	A Midi	VM4 Tower	VM4 Partie A	VM4	Tour brûlée	7	robot  de brasage	robot  de brasage
2025-03-21	Scrap	process	A Midi	PPC VM4/HOARAIRE	VM4 AUTO I	VM4	soudure écrasé	2	soudure électrique 3éme self & PTH	soudure électrique 3éme self & PTH
2025-03-21	Scrap	reglage	A Midi	PPC VM4/HOARAIRE	VM4 AUTO I	VM4	reteneur.. cassé	4	montage composants sur convoyeur	montage composants sur convoyeur
2025-03-21	Scrap	process	A Midi	PPC VM4/ANTI HORAIRE	VM4 AUTO I	VM4	bakélite cassé	2	montage composants sur convoyeur	soudure électrique PTH & PDM
2025-03-21	Scrap	process	A Midi	BC NEM II	NEM 2	NEM2	botroulage nc	18	Boutollage PDM	Mise en place des ressorts
2025-03-21	Scrap	process	A Midi	PPC VM4/ANTI HORAIRE	VM4 AUTO I	VM4	soudure écrasé	2	soudure électrique 3éme self & PTH	soudure électrique 3éme self & PTH
2025-03-21	Scrap	reglage	A Midi	BC NEM II	NEM 2 dup	NEM2	botroulage nc	53	Boutollage PDM	Mise en place des ressorts
2025-03-21	Scrap	process	A Midi	BC NEM II	NEM 2 dup	NEM2	patte de masse tordue	18	Boutollage PDM	Mise en place des ressorts
2025-03-21	Scrap	reglage	A Midi	SIM II	sim 2	SIM	boitier cassé	2	insertion rotule	insertion rotule
2025-03-21	Scrap	reglage	A Midi	Préparation CM3 réf 779	Preparation CM3	CM3	PDM endommagé	8	Sertissage automatique des pin 1&3&PDM	Retournement
