Date de création	Type	Catégorie	Équipe	Produit	Ligne	Famille	Défaut	Qte défaut	Phase d'origine	Phase de détection
2025-03-17	Scrap	process	A Midi	BC NEM II	NEM 2 dup	NEM2	patte de masse tordue	19	Boutollage PDM	Mise en place des ressorts
2025-03-17	Scrap	process	A Midi	BC NEM II	NEM 2 dup	NEM2	mauvais sertissage lame /lyre	13	sertissage lame/ lyre	
2025-03-17	Scrap	process	A Midi	BC NEM II	NEM 2 dup	NEM2	marquage illisible	4	identification de pièce par marquage	identification de pièce par marquage
2025-03-17	Scrap	reglage	A Midi	SIM II	sim 2	SIM	boitier cassé	4	insertion rotule	insertion rotule
2025-03-17	Scrap	process	A Midi	VM4 Tower	VM4 Partie A	VM4	Tour brûlée	4	robot de brasage	robot de brasage
2025-03-17	Scrap	process	A Midi	VM4 Tower	VM4 Partie A	VM4	Tour brûlée	7	robot  de brasage	robot  de brasage
2025-03-17	Scrap	process	A Midi	PPC VM4/HORAIRE	VM4 AUTO II	VM4	reteneur.. cassé	3	mise en place de composants sur palettes	mise en place de composants sur palettes
2025-03-17	Scrap	process	A Midi	PPC VM4/HORAIRE	VM4 AUTO II	VM4	bakélite cassé	3	mise en place de composants sur palettes	Soudure 3 eme self tresse
2025-03-17	Scrap	process	A Midi	PPC VM4/HORAIRE	VM4 AUTO II	VM4	soudure écrasé	3	Soudure 3eme self /PTH	Soudure 3eme self /PTH
2025-03-17	Scrap	process	A Midi	PPC VM4/ANTI HOARAIRE	VM4 AUTO I	VM4	soudure écrasé	3	soudure électrique 3éme self & PTH	soudure électrique 3éme self & PTH
2025-03-17	Scrap	process	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Soudure self éclaté	1	soudure électrique contact self 3 OU PTH SELF	soudure électrique contact self 3 OU PTH SELF
2025-03-17	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Balai mal serti	25	Assemblage balai / Lame ressort	Controle finale partie B
2025-03-17	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Lame déformée	6	Test électrique	Chargement - déchargement boitiersur palette
2025-03-17	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Marquage décalé	4	Test électrique	Chargement - déchargement boitiersur palette
2025-03-17	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Soudure self  écrasée	6	soudure électrique self sur lame	MEP condo  + Retournement boitier
2025-03-17	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	soudure condo écrasé	5	soudure électrique condo sur lame	Montage self / lame
2025-03-17	Scrap	process	A Midi	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Murée cassé	3	Insertion contact EMC au platine	Insertion contact EMC au platine
2025-03-17	Scrap	process	A Midi	PPC FLEX 2	Flex2	FLEX	soudure condo écrasé	9	Boutrollage condo axial-Flex 2	Controle soudure condo axiale et boutrollage
2025-03-17	Scrap	process	A Midi	PPC FLEX 2	Flex2	FLEX	Soudure self éclaté	2	soudure électrique self / shunt  sur lame Flex2	MEP condo  + PTH + Retournement boitier Flex 2
2025-03-17	Scrap	process	A Midi	CM4-NL	CM3-CM4 Ligne 2	CM4	Mauvaise soudure self/PTH	1	Soudure self sur PTH P A	controle aspect soudure
2025-03-17	Scrap	process	A Midi	PPC FLEX 2	Flex2	FLEX	Boîtier cassé	12	Boutrollage condo axial-Flex 2	Controle soudure condo axiale et boutrollage
2025-03-17	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	16	soudure self tresse	controle préparation
2025-03-17	Scrap	reglage	A Midi	ligne 2	Preparation CM4	CM4	Boitier endommagée	2	sertissage de 2 contacts +fourchette	retournement
2025-03-17	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	35	soudure self tresse	montage self/balais sur boitier
2025-03-17	Scrap	process	A Midi	PPC FLEX 2	Flex2	FLEX	Mauvais bouterollage lame balai /boitier	6	Sertissage lamme boitier et boutrollage Flex-2	Mise en place condo axial-Flex2
2025-03-17	Scrap	process	A Midi	B8	B8	B8	soudure tresse éclaté	1	soudure 2 balais N°1	soudure 2 balais N°1
2025-03-17	Scrap	process	A Midi	T7	T7	Engine Cooling	soudure connecteur éclaté	1	soudure  connecteur sur  platine	soudure  connecteur sur  platine
2025-03-17	Scrap	process	A Midi	T7	T7	Engine Cooling	Varistance coupé	1	soudure varistance	soudure varistance
2025-03-17	Scrap	process	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	balai cassé	3	Test force GENIIC	Controle Finale GENII C
2025-03-17	Scrap	defaut	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	soudure condo/EMC décalé	1	Soudure électrique de 2 pattes condo et contact EMC	Controle Finale GENII C
2025-03-17	Scrap	process	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	soudure self tresse écrasé	1	soudure électrique balais 2 et self 2	Test force GENIIC
2025-03-18	Scrap	reglage	Matin	B8	B8	B8	condo écrasé	4	soudure condo sur platine	soudure condo sur platine
2025-03-18	Scrap	process	Matin	B8	B8	B8	Varistance coupé	1	soudure varistance	controle finale & conditionnement
2025-03-18	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Balai mal serti	79	Assemblage balai / Lame ressort	Assemblage balai / Lame ressort
2025-03-18	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Mauvaise marquage	2	Test électrique	Test électrique
2025-03-18	Scrap	process	A Midi	PPC FLEXL1	Flex1	FLEX	Lame déformée	9	Test électrique	Chargement - déchargement boitiersur palette
2025-03-18	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Balai cassé	25	Assemblage balai / Lame ressort	Assemblage balai / Lame ressort
2025-03-18	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Mauvais bouterollage lame balai	4	Bouterollage lame balai sur boitier	Mise en place condo axial
2025-03-18	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Boîtier cassé	3	Bouterollage lame balai sur boitier	Mise en place condo axial
2025-03-18	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Languette tordue	2	Chargement - déchargement boitiersur palette	Soudure à l'étain
2025-03-18	Scrap	process	A Midi	PPC FLEXL1	Flex1	FLEX	Soudure self  écrasée	10	soudure électrique self sur lame	MEP condo  + Retournement boitier
2025-03-18	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Soudure self  écrasée	2	soudure électrique self sur lame	MEP condo  + Retournement boitier
2025-03-18	Scrap	process	Matin	CM4-NL	CM3-CM4 Ligne 2	CM4	Mauvaise soudure self/PTH	2	Soudure self sur PTH P A	Montage PCB
2025-03-18	Scrap	process	Matin	CM4-NL	CM3-CM4 Ligne 2	CM4	PDM endommagée	1	Inspection soudure étain et rework P A	Vernissage automatique
2025-03-18	Scrap	process	A Midi	505-927	DCK	DCK	Guide écrasée	3	insertion guide chargé (ressort/balai) dans la palette	sertissage guide
2025-03-18	Scrap	process	A Midi	505-927	DCK	DCK	guide mal serti	3	soudure self /terminal 2	sertissage guide
2025-03-18	Scrap	reglage	A Midi	505-927	DCK	DCK	soudure self connexion2 écrsé	4	soudure 1er self/terminal& montage 2eme self	soudure 1er self/terminal& montage 2eme self
2025-03-18	Scrap	process	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Effort ressort non conforme	8	Test force GENIIC	Test force GENIIC
2025-03-18	Scrap	process	A Midi	BC NEM II	NEM 2 dup	NEM2	boitier cassé	3	Enfonçage de la rotule sur le boîtier	
2025-03-19	Scrap	reglage	Matin	PPC VM4/ANTI HORAIRE	VM4 AUTO I	VM4	contact déformé	3	montage composants sur convoyeur	montage composants sur convoyeur
2025-03-18	Scrap	process	A Midi	BC NEM II	NEM 2 dup	NEM2	patte de masse tordue	10	Boutollage PDM	Mise en place des ressorts
2025-03-18	Scrap	process	A Midi	BC NEM II	NEM 2 dup	NEM2	marquage illisible	4	identification de pièce par marquage	identification de pièce par marquage
2025-03-18	Scrap	reglage	A Midi	SIM II	sim 2	SIM	boitier cassé	4	insertion rotule	insertion rotule
2025-03-18	Scrap	process	A Midi	PPC FLEXL1	Flex1	FLEX	Mauvais bouterollage lame balai	6	Insertion lame/balai sur boitier	Mise en place condo axial
2025-03-18	Scrap	process	A Midi	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Effort ressort non conforme	1	Test force GENIIC	Test force GENIIC
2025-03-18	Scrap	process	A Midi	PPC FLEXL1	Flex1	FLEX	Marquage décalé	5	Test électrique	Chargement - déchargement boitiersur palette
2025-03-18	Scrap	process	A Midi	PPC GEN2	GEN2 Réversible	GEN2 REVERSIBLE	Muret cassé	1	Botrollage	Botrollage
2025-03-18	Scrap	process	A Midi	PPC VM4/HOARAIRE	VM4 AUTO I	VM4	soudure écrasé	2	soudure électrique 3éme self & PTH	soudure électrique 3éme self & PTH
2025-03-18	Scrap	process	A Midi	PPC VM4/ANTI HOARAIRE	VM4 AUTO I	VM4	soudure décalé	1	soudure tresse/self M1	soudure tresse/self M1
2025-03-18	Scrap	process	A Midi	CM4-NL	CM3-CM4 Ligne 2	CM4	Marquage non conforme	2	Poste de vision	controle aspect soudure
2025-03-18	Scrap	process	A Midi	ligne 2	Preparation CM4	CM4	Boitier endommagée	2	sertissage automatique de 2 inserts+patte de masse	retournement
2025-03-18	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	34	soudure self tresse	montage self/balais sur boitier
2025-03-18	Scrap	defaut	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Murée cassé	1	soudure électrique balais 2 et self 2	soudure électrique balais 2 et self 2
2025-03-18	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	56	soudure self tresse	controle préparation
2025-03-18	Scrap	process	A Midi	ligne 2	Preparation CM4	CM4	PDM endommagé	16	sertissage automatique de 2 inserts+patte de masse	retournement
2025-03-18	Scrap	defaut	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Murée cassé	1	Test électrique et controle caméra GENII C	Controle Finale GENII C
2025-03-19	Scrap	reglage	Matin	VM4 Tower	VM4 Partie A	VM4	Tour brûlée	12	robot  de brasage	robot  de brasage
2025-03-19	Scrap	process	Matin	505-931	DCK	DCK	Guide écrasée	2	insertion guide chargé (ressort/balai) dans la palette	sertissage guide
2025-03-19	Scrap	process	Matin	505-931	DCK	DCK	Bakelite cassé	2	soudure shunt balai	soudure shunt balai
2025-03-19	Scrap	process	Matin	505-931	DCK	DCK	soudure diode-shunt écraser	3	montage shunt &soudure self/shunt	montage shunt &soudure self/shunt
2025-03-19	Scrap	process	Matin	505-931	DCK	DCK	soudure diode-tresse écraser	2	Soudure balai-Diode	Soudure balai-Diode
2025-03-19	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Balai cassé	35	Assemblage balai / Lame ressort	Assemblage balai / Lame ressort
2025-03-19	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Self mal plaquée haut	22	soudure électrique self / shunt  sur lame Flex2	MEP condo  + PTH + Retournement boitier Flex 2
2025-03-19	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Balai mal serti	120	Insertion lame/balai sur boitier_Flex 2	Controle finale Flex 2 partie B
2025-03-19	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Mauvais bouterollage lame balai /boitier	5	Sertissage lamme boitier et boutrollage Flex-2	Mise en place condo axial-Flex2
2025-03-19	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Languette tordue	2	Chargement et déchargement boitier sur palette_Flex 2	controle finale Flex 2 partie A
2025-03-19	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	Marquage non conforme	1	controle vision	controle vision
2025-03-19	Scrap	process	Matin	SIM II	sim 2	SIM	boitier cassé	7	insertion rotule	insertion rotule
2025-03-19	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	PDM endommagée	1	soudure etain automatique	controle etain +rework
2025-03-19	Scrap	process	Matin	PPC MNG2 2L2C	Mng 2.1	MNG	plaquette cassée	1	Test électrique	Test électrique
2025-03-19	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	Fourchette (2) endommagé	1	soudure fourchette /ICH/ resistance/ condo	test electrique
2025-03-19	Scrap	process	Matin	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Effort ressort non conforme	1	Test force GENIIC	Test force GENIIC
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Boîtier cassé	3	Sertissage lamme boitier et boutrollage	Mise en place condo axial
2025-03-19	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	27	soudure self tresse	controle préparation
2025-03-19	Scrap	reglage	A Midi	SIM II	sim 2	SIM	boitier cassé	4	insertion rotule	insertion rotule
2025-03-19	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Balais cassé	4	soudure self tresse	montage self/balais sur boitier
2025-03-19	Scrap	process	A Midi	ligne 2	Preparation CM4	CM4	Contact endommagé	9	sertissage de 2 contacts +fourchette	retournement
2025-03-19	Scrap	process	A Midi	BC NEM II	NEM 2 dup	NEM2	patte de masse tordue	4	Boutollage PDM	Mise en place des ressorts
2025-03-19	Scrap	process	A Midi	BC NEM II	NEM 2 dup	NEM2	marquage illisible	5	identification de pièce par marquage	identification de pièce par marquage
2025-03-19	Scrap	reglage	A Midi	ligne 2	Preparation CM4	CM4	Boitier endommagée	4	sertissage de 2 contacts +fourchette	chargement et déchargement
2025-03-19	Scrap	process	A Midi	VM4 Tower	VM4 Partie A	VM4	Tour brûlée	4	robot de brasage	robot de brasage
2025-03-19	Scrap	process	A Midi	PPC VM4/HOARAIRE	VM4 AUTO I	VM4	soudure écrasé	2	soudure électrique 3éme self & PTH	soudure électrique 3éme self & PTH
2025-03-19	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	29	soudure self tresse	montage self/balais sur boitier
2025-03-19	Scrap	process	A Midi	ligne 2	Preparation CM4	CM4	PDM endommagé	4	sertissage automatique de 2 inserts+patte de masse	retournement
2025-03-19	Scrap	process	A Midi	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Effort ressort non conforme	1	Test force GENIIC	Test force GENIIC
2025-03-19	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Soudure self  écrasée	10	soudure électrique self sur lame	MEP condo  + Retournement boitier
2025-03-19	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Marquage décalé	5	Test électrique	Chargement - déchargement boitiersur palette
2025-03-19	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Mauvais bouterollage lame balai	6	Bouterollage lame balai sur boitier	Mise en place condo axial
2025-03-19	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Lame déformée	10	Test électrique	Chargement - déchargement boitiersur palette
2025-03-19	Scrap	process	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Soudure self éclaté	2	soudure self terminals	soudure self terminals
2025-03-19	Scrap	process	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	languettes cassés	2	Test force GENIIC	Test force GENIIC
